,行号,前缀,单号,件数,重量,日期
0,1,180,68741352,30,225.47,
1,2,843,02461266,37,1120.0,
2,3,310,88779143,50,1037.0,
3,4,880,35858771,196,2494.0,
4,5,180,68739123,1,8.96,
5,6,180,68739101,8,75.92,
6,7,043,88994743,8,638.52,
7,8,180,61361856,47,282.09,
8,9,180,61361845,90,644.17,
9,10,043,88994743,8,638.52,
10,11,180,68740873,7,196.8,
11,12,843,02381595,5,1518.57,
12,13,180,61376173,3,739.0,
13,14,876,12272503,11,4208.0,
14,15,YJ,80564761,63,1010.0,
15,16,YJ,00101032,3,3.0,
16,17,618,70162444,48,1149.0,
17,18,180,61376173,3,739.0,
18,19,180,68739112,1,7.02,
19,20,088,00004480,56,1105.0,
20,21,843,02461911,88,2127.0,
21,22,YJ,80564761,63,1010.0,
22,23,180,61373432,6,78.0,
23,24,235,50513746,1,214.0,
24,25,180,68736916,19,563.5,
25,26,180,68739090,18,158.42,
26,27,088,00004476,24,821.0,
27,28,880,36004290,38,723.0,
28,29,180,68747103,102,1138.75,
29,30,843,02381595,5,1518.57,
30,31,843,02461841,85,2128.0,
31,32,310,88779106,47,1057.0,
32,33,YJ,00101032,3,3.0,
33,34,180,68749063,1,8.68,
34,35,180,68741363,9,67.41,
35,36,043,89444250,3,11.03,
36,37,YJ,80564750,2,20.0,
37,38,180,68740313,94,880.63,
38,39,843,02462143,72,1455.0,
39,40,180,68749052,1,9.96,
40,41,900,82003526,139,2070.0,
41,42,180,68747092,189,1989.48,
42,43,180,68749074,6,59.26,
43,44,876,12272503,11,4208.0,
44,45,180,68741341,2,100.26,
45,46,YJ,80564750,2,20.0,
46,47,843,02461082,2,80.0,
47,48,180,68738084,2,745.5,
48,49,988,22672554,2,1009.0,
49,50,988,22672926,3,427.5,
50,51,297,36901874,15,91.76,
51,52,843,02461653,137,2477.0,
52,53,843,02461933,87,2142.0,
53,54,YJ,00102034,2,2.0,
54,55,043,88994172,3,12.0,
55,56,297,36901922,1,185.0,
56,57,043,88578906,13,80.3,
57,58,988,22672554,2,1009.0,
58,59,180,61368646,1,360.0,
59,60,180,68738095,70,696.8,
60,61,088,00004491,17,1035.0,
61,62,988,22672941,12,1637.0,
62,63,876,00787894,104,614.0,
63,64,180,61368661,41,561.0,
64,65,988,22672926,3,427.5,
65,66,YJ,80564783,6,55.0,
66,67,180,68731644,8,54.0,
67,68,880,35861965,8,200.0,
68,69,235,50515555,49,2100.0,
69,70,043,88578910,2,5.6,
70,71,180,68740980,5,146.14,
71,72,618,70162455,47,1066.0,
72,73,988,22672941,12,1637.0,
73,74,880,36039684,121,2100.0,
74,75,843,02462460,81,1205.0,
75,76,180,68741632,1,253.0,
76,77,880,35959173,176,2350.0,
77,78,695,20508121,16,166.0,
78,79,043,89444224,4,39.0,
79,80,180,61368646,1,360.0,
80,81,310,88779110,47,1112.0,
81,82,695,20355160,5,1299.0,
82,83,988,22671213,19,230.0,
83,84,043,89444213,2,56.0,
84,85,180,68740324,90,861.42,
85,86,988,22672930,11,1472.0,
86,87,843,02461944,102,2532.0,
87,88,297,36901933,1,92.0,
88,89,180,68731644,8,54.0,
89,90,YJ,80564772,4,20.0,
90,91,YJ,80564772,4,20.0,
91,92,880,35980243,127,2090.0,
92,93,YJ,00102034,2,2.0,
93,94,988,22672812,4,36.0,
94,95,695,22146880,2,33.0,
95,96,297,36901944,3,241.0,
96,97,880,35959383,105,1805.0,
97,98,180,68740626,2,45.34,
98,99,784,42436181,1,64.0,
99,100,043,88994161,4,190.0,
100,101,297,36901900,1,466.0,
101,102,180,68740405,2,9.2,
102,103,180,61376184,1,147.0,
103,104,180,68740965,7,206.7,
104,105,784,42436170,12,488.0,
105,106,880,35861394,2,188.0,
106,107,YJ,80564783,6,55.0,
107,108,180,61368635,1,56.0,
108,109,843,02462456,63,1207.0,
109,110,880,36041880,94,1444.0,
110,111,880,36039216,1,51.0,
111,112,235,50514343,10,78.0,
112,113,235,50513746,1,214.0,
113,114,880,36041843,128,1995.0,
114,115,843,02461922,87,2056.0,
115,116,297,36901900,1,466.0,
116,117,880,35960190,101,1790.0,
117,118,988,22672930,11,1472.0,
118,119,843,02461970,95,2216.0,
119,120,843,02461981,87,2113.0,
120,121,843,02461992,87,2184.0,
121,122,880,35862256,84,1204.0,
122,123,180,68740346,1,8.2,
123,124,043,88994275,12,58.0,
